run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 1; 15; 12; 8192; 18.11127; 0.00927; 0.00068; 0.20182;  3.98605; 0.02730;  0.02730; 0.00007 ;  11227.044362 ; 78.542649 ;
 2; 15; 12; 8192; 18.11984; 0.00891; 0.00061; 0.20018;  3.98533; 0.02667;  0.02667; 0.00006 ;  11198.435987 ; 78.529026 ;
 3; 15; 12; 8192; 18.12458; 0.00924; 0.00068; 0.20130;  3.98652; 0.02729;  0.02729; 0.00006 ;  11052.111482 ; 78.562615 ;
 4; 15; 12; 8192; 18.11835; 0.00966; 0.00060; 0.20142;  3.99239; 0.02737;  0.02737; 0.00008 ;  11244.687351 ; 78.646198 ;
 0; 15; 7; 1024; 0.37021; 0.06968; 0.00011; 0.02936;  0.17319; 0.00054;  0.00054; 0.00006 ;  51331.401125 ; 3.078036 ;
 1; 15; 7; 1024; 0.15294; 0.00168; 0.00010; 0.02903;  0.17322; 0.00054;  0.00054; 0.00004 ;  50362.664990 ; 2.792576 ;
 2; 15; 7; 1024; 0.15307; 0.00169; 0.00010; 0.02907;  0.17342; 0.00054;  0.00054; 0.00002 ;  51194.876982 ; 2.795916 ;
 3; 15; 7; 1024; 0.15511; 0.00181; 0.00010; 0.02951;  0.17300; 0.00054;  0.00054; 0.00005 ;  50508.480615 ; 2.792052 ;
 4; 15; 7; 1024; 0.15315; 0.00171; 0.00010; 0.02915;  0.17279; 0.00054;  0.00054; 0.00002 ;  50633.531358 ; 2.786457 ;
 0; 15; 7; 2048; 0.87210; 0.00167; 0.00010; 0.02914;  0.17420; 0.00103;  0.00103; 0.00005 ;  50561.864595 ; 3.535614 ;
 1; 15; 7; 2048; 0.87256; 0.00181; 0.00011; 0.02961;  0.17568; 0.00104;  0.00104; 0.00002 ;  50378.118901 ; 3.559183 ;
 2; 15; 7; 2048; 0.87247; 0.00164; 0.00010; 0.02930;  0.17591; 0.00104;  0.00104; 0.00005 ;  49660.623161 ; 3.561936 ;
 3; 15; 7; 2048; 0.87254; 0.00167; 0.00011; 0.02938;  0.17554; 0.00104;  0.00104; 0.00002 ;  50010.205624 ; 3.556618 ;
 4; 15; 7; 2048; 0.87228; 0.00171; 0.00010; 0.02936;  0.17558; 0.00104;  0.00104; 0.00002 ;  50513.558257 ; 3.556882 ;
