run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Copy Data; Total Time ;
25; 15; 1; 8192; 0.00094; 0.16148; 0.00001; 0.00094;  3.835333e-06; 7.289267e-06; 0.29234;  0.455938 ;  
26; 15; 1; 8192; 0.00092; 0.16152; 0.00001; 0.00094;  4.010933e-06; 7.713533e-06; 0.29181;  0.455446 ;  
27; 15; 1; 8192; 0.00091; 0.16153; 0.00001; 0.00093;  4.391333e-06; 7.336333e-06; 0.29438;  0.458009 ;  
28; 15; 1; 8192; 0.00089; 0.16143; 0.00001; 0.00093;  4.040800e-06; 7.475533e-06; 0.29211;  0.455615 ;  
29; 15; 1; 8192; 0.00088; 0.16147; 0.00001; 0.00093;  3.912533e-06; 7.352200e-06; 0.29807;  0.461596 ; 
0; 15; 2; 1024; 0.13322; 1.64503; 0.00002; 0.36483;  4.951467e-06; 8.284067e-06; 85.50381;  87.647297 ;  
 1; 15; 2; 1024; 0.00180; 1.64263; 0.00001; 0.37317;  4.661600e-06; 8.408933e-06; 86.87813;  88.896023 ;  
 2; 15; 2; 1024; 0.00159; 1.64260; 0.00001; 0.37874;  4.490933e-06; 7.974267e-06; 87.01488;  89.038107 ;  
 3; 15; 2; 1024; 0.00160; 1.64240; 0.00002; 0.37513;  4.828933e-06; 8.450067e-06; 87.22759;  89.247040 ;  
 4; 15; 2; 1024; 0.00158; 1.64221; 0.00002; 0.37604;  4.729333e-06; 8.198333e-06; 87.64330;  89.663421 ;  
 5; 15; 2; 1024; 0.00160; 1.64255; 0.00001; 0.37569;  4.456000e-06; 8.056733e-06; 87.70618;  89.726310 ;  
 6; 15; 2; 1024; 0.00173; 1.64247; 0.00001; 0.37604;  4.486200e-06; 8.229667e-06; 87.62679;  89.647327 ;  
 7; 15; 2; 1024; 0.00171; 1.64239; 0.00002; 0.37423;  4.574867e-06; 8.191867e-06; 87.42730;  89.445934 ;  
 8; 15; 2; 1024; 0.00308; 1.64237; 0.00001; 0.37515;  4.944733e-06; 8.453133e-06; 87.15247;  89.173380 ;  
 9; 15; 2; 1024; 0.00195; 1.64423; 0.00002; 0.37685;  5.635667e-06; 1.015133e-05; 87.38425;  89.407650 ;  
 10; 15; 2; 1024; 0.00187; 1.64168; 0.00001; 0.37827;  4.604867e-06; 8.054800e-06; 87.27259;  89.294705 ;  
 11; 15; 2; 1024; 0.00165; 1.64259; 0.00001; 0.37572;  5.713400e-06; 7.813000e-06; 87.02216;  89.042419 ;  
 12; 15; 2; 1024; 0.00201; 1.64275; 0.00001; 0.37484;  4.481200e-06; 7.911267e-06; 87.15171;  89.171597 ;  
 13; 15; 2; 1024; 0.00164; 1.64211; 0.00001; 0.37451;  4.453000e-06; 7.984133e-06; 86.98421;  89.002743 ;  
 14; 15; 2; 1024; 0.00179; 1.64253; 0.00001; 0.37791;  4.591800e-06; 8.174200e-06; 87.63522;  89.657735 ;  
 15; 15; 2; 1024; 0.00165; 1.64200; 0.00001; 0.37551;  4.696000e-06; 8.453067e-06; 88.18231;  90.201767 ;  
 16; 15; 2; 1024; 0.00164; 1.64220; 0.00001; 0.37500;  4.635400e-06; 8.119267e-06; 87.38781;  89.406946 ;  
 17; 15; 2; 1024; 0.00170; 1.64194; 0.00002; 0.37534;  4.615333e-06; 7.880600e-06; 87.47244;  89.491712 ;  
 18; 15; 2; 1024; 0.00162; 1.64231; 0.00001; 0.37920;  4.467800e-06; 8.121267e-06; 87.70355;  89.726957 ;  
 19; 15; 2; 1024; 0.00168; 1.64263; 0.00001; 0.37509;  4.540333e-06; 8.162667e-06; 87.37977;  89.399467 ;  
 20; 15; 2; 1024; 0.00171; 1.64193; 0.00001; 0.37465;  4.741800e-06; 8.051333e-06; 87.32593;  89.344511 ;  
 21; 15; 2; 1024; 0.00170; 1.64253; 0.00001; 0.37511;  4.433800e-06; 7.778600e-06; 88.25752;  90.277146 ;  
 22; 15; 2; 1024; 0.00171; 1.64263; 0.00001; 0.37646;  4.535800e-06; 7.906200e-06; 87.50198;  89.523060 ;  
