Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;
11;15;7;2048;0;71453.48550;2.11929; 
12;15;7;2048;0;71126.05067;2.12446; 
13;15;7;2048;0;71317.30991;2.08083; 
14;15;7;2048;0;72493.43169;2.08785; 
15;15;7;2048;0;70739.73941;2.07438; 
16;15;7;2048;0;71984.17553;2.09024; 
17;15;7;2048;0;71043.51439;2.11435; 
18;15;7;2048;0;72272.21964;2.12810; 
19;15;7;2048;0;71416.16208;2.08843; 
20;15;7;2048;0;72889.13396;2.08334; 
21;15;7;2048;0;72693.92485;2.08647; 
22;15;7;2048;0;72850.65988;2.07685; 
23;15;7;2048;0;72162.42281;2.08578; 
24;15;7;2048;0;70978.30386;2.08269; 
25;15;7;2048;0;71587.94397;2.13669; 
26;15;7;2048;0;72593.14358;2.13268; 
27;15;7;2048;0;71823.08921;2.08898; 
28;15;7;2048;0;71038.74555;2.08444; 
29;15;7;2048;0;70720.28983;2.08487; 
30;15;7;2048;0;72172.61141;2.08288; 
1;15;7;4096;0;73509.64988;2.67319; 
2;15;7;4096;0;72397.48510;2.65237; 
3;15;7;4096;0;72343.62455;2.66997; 
4;15;7;4096;0;72861.34753;2.71433; 
5;15;7;4096;0;71003.52425;2.64844; 
6;15;7;4096;0;71776.14644;2.68884; 
7;15;7;4096;0;72332.78194;2.64266; 
8;15;7;4096;0;71170.27352;2.63897; 
9;15;7;4096;0;71736.33532;2.68280; 
10;15;7;4096;0;71643.69921;2.64984; 
11;15;7;4096;0;73122.86382;2.68386; 
12;15;7;4096;0;72194.69790;2.64792; 
13;15;7;4096;0;70737.54921;2.64897; 
14;15;7;4096;0;72119.94925;2.64828; 
15;15;7;4096;0;71789.66866;2.64263; 
16;15;7;4096;0;72467.19391;2.72135; 
17;15;7;4096;0;72380.07119;2.64539; 
18;15;7;4096;0;72369.94284;2.67396; 
19;15;7;4096;0;72376.76649;2.64831; 
20;15;7;4096;0;71960.71067;2.64357; 
21;15;7;4096;0;73365.15543;2.65452; 
22;15;7;4096;0;72216.20201;2.64955; 
23;15;7;4096;0;72838.56540;2.70795; 
24;15;7;4096;0;71541.65821;2.64194; 
25;15;7;4096;0;72553.35664;2.67719; 
26;15;7;4096;0;68866.74848;2.64025; 
27;15;7;4096;0;68414.61976;2.71994; 
28;15;7;4096;0;72293.37159;2.64371; 
29;15;7;4096;0;73827.30192;2.68909; 
30;15;7;4096;0;73331.77334;2.64874; 
1;15;7;8192;0;70427.57755;6.24748; 
2;15;7;8192;0;71758.96130;6.29777; 
3;15;7;8192;0;72816.53373;6.27763; 
4;15;7;8192;0;72922.04370;6.22805; 
5;15;7;8192;0;73528.02742;6.25045; 
6;15;7;8192;0;70727.54807;6.23027; 
7;15;7;8192;0;71705.58847;6.29030; 
